Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,CHURN,AVGCHURN,MAXCHURN,BUGGY
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,3,1,215,227,75.0,177,215,71.0,177,No
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,2,1,271,284,142.0,260,271,135.0,260,No
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,5,3,451,534,106.0,425,459,91.0,425,No
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,0,0,137,0,0.0,0,0,0.0,0,No
4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,2,2,368,305,152.0,294,124,62.0,123,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,20,3,764,580,29.0,106,612,30.0,327,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,2,2,51,53,26.0,52,53,26.0,52,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,2,2,150,63,31.0,58,58,29.0,53,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,2,2,31,33,16.0,33,35,17.0,33,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,0,0,180,0,0.0,0,0,0.0,0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,2,1,196,202,101.0,195,196,98.0,195,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,12,3,473,375,31.0,253,282,23.0,129,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,1,1,40,40,40.0,40,40,40.0,40,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,4,1,255,130,32.0,79,51,12.0,20,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,4,3,379,401,100.0,228,379,94.0,211,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,7,3,509,545,77.0,378,541,77.0,378,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,1,1,32,32,32.0,32,32,32.0,32,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,2,1,66,74,37.0,69,72,36.0,69,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,4,2,187,211,52.0,183,191,47.0,183,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,3,2,576,589,196.0,550,576,192.0,550,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,3,1,158,161,53.0,157,158,52.0,157,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,8,2,46,128,16.0,92,579,72.0,531,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,2,1,27,80,40.0,79,131,65.0,79,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,7,3,788,842,120.0,712,788,112.0,712,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,1,1,60,60,60.0,60,60,60.0,60,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,5,1,62,74,14.0,36,159,31.0,88,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,2,1,88,118,59.0,113,138,69.0,113,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,2,1,52,55,27.0,53,54,27.0,53,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,2,2,163,9,4.0,6,6,3.0,4,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,1,1,91,91,91.0,91,91,91.0,91,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,0,0,147,0,0.0,0,0,0.0,0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,1,1,139,12,12.0,12,2,2.0,2,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,1,1,282,11,11.0,11,11,11.0,11,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,6,3,582,152,25.0,106,116,19.0,68,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,4,2,800,91,22.0,73,72,18.0,62,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,3,1,216,19,6.0,9,11,3.0,7,Yes
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,1,1,55,9,9.0,9,5,5.0,5,No
