Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,CHURN,AVGCHURN,MAXCHURN,BUGGY
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,4,2,137,235,58.75,137,139,34.75,137,No
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,5,2,244,340,68.0,252,262,52.4,252,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,14,3,1026,1246,89.0,545,1026,73.28571428571429,545,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,3,3,92,121,40.333333333333336,81,92,30.666666666666668,81,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,4,2,180,195,48.75,168,180,45.0,168,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,9,3,471,633,70.33333333333333,487,551,61.22222222222222,487,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,5,3,204,210,42.0,124,204,40.8,124,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,7,3,551,621,88.71428571428571,536,557,79.57142857142857,536,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,5,3,149,168,33.6,133,149,29.8,133,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,3,3,157,164,54.666666666666664,151,157,52.333333333333336,151,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,1,1,147,147,147.0,147,147,147.0,147,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,5,3,137,269,53.8,126,141,28.2,126,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,4,3,271,280,70.0,249,271,67.75,249,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,9,3,548,1040,115.55555555555556,410,548,60.888888888888886,410,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,6,2,728,931,155.16666666666666,714,882,147.0,714,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,4,2,205,212,53.0,204,205,51.25,204,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,2,2,50,53,26.5,50,50,25.0,50,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,5,3,185,207,41.4,184,185,37.0,184,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,3,3,61,66,22.0,61,61,20.333333333333332,61,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,8,3,157,210,26.25,167,181,22.625,167,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,4,3,81,92,23.0,80,81,20.25,80,No
