@relation output-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0,4.2.1,4.2.2}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.0.0,4,2,137,235,58,137,139,34,137,No
4.0.0,5,2,244,340,68,252,262,52,252,No
4.0.0,14,3,1026,1246,89,545,1026,73,545,Yes
4.0.0,3,3,92,121,40,81,92,30,81,Yes
4.0.0,4,2,180,195,48,168,180,45,168,No
4.0.0,9,3,471,633,70,487,551,61,487,Yes
4.0.0,5,3,204,210,42,124,204,40,124,Yes
4.0.0,7,3,551,621,88,536,557,79,536,Yes
4.0.0,5,3,149,168,33,133,149,29,133,Yes
4.0.0,3,3,157,164,54,151,157,52,151,Yes
4.0.0,1,1,147,147,147,147,147,147,147,No
4.0.0,5,3,137,269,53,126,141,28,126,Yes
4.0.0,4,3,271,280,70,249,271,67,249,Yes
4.0.0,9,3,548,1040,115,410,548,60,410,Yes
4.0.0,6,2,728,931,155,714,882,147,714,Yes
4.0.0,4,2,205,212,53,204,205,51,204,Yes
4.0.0,2,2,50,53,26,50,50,25,50,No
4.0.0,5,3,185,207,41,184,185,37,184,Yes
4.0.0,3,3,61,66,22,61,61,20,61,Yes
4.0.0,8,3,157,210,26,167,181,22,167,Yes
4.0.0,4,3,81,92,23,80,81,20,80,No
4.0.0,3,2,84,133,44,83,84,28,83,No
4.0.0,12,3,762,1462,121,547,770,64,547,Yes
4.0.0,7,3,248,288,41,198,252,36,198,Yes
4.0.0,9,3,169,232,25,140,171,19,140,Yes
4.0.0,6,3,196,224,37,178,196,32,178,Yes
4.0.0,4,3,67,76,19,67,67,16,67,No
4.0.0,4,3,165,182,45,138,165,41,138,Yes
4.0.0,4,3,173,193,48,170,173,43,170,Yes
4.0.0,6,2,103,127,21,101,107,17,101,Yes
4.0.0,1,1,78,78,78,78,78,78,78,Yes
4.0.0,2,2,87,88,44,87,87,43,87,Yes
4.0.0,2,2,85,86,43,85,85,42,85,No
4.0.0,2,1,105,106,53,61,105,52,61,Yes
4.0.0,4,2,216,224,56,216,216,54,216,Yes
4.0.0,4,2,377,397,99,377,377,94,377,Yes
4.0.0,2,1,253,255,127,251,253,126,251,Yes
4.0.0,1,1,193,193,193,193,193,193,193,Yes
4.0.0,1,1,514,514,514,514,514,514,514,Yes
4.0.0,1,1,204,204,204,204,204,204,204,No
4.0.0,1,1,144,144,144,144,144,144,144,Yes
4.0.0,1,1,98,98,98,98,98,98,98,No
4.0.0,7,3,181,203,29,178,189,27,178,Yes
4.0.0,4,3,154,162,40,75,154,38,75,Yes
4.0.0,11,3,393,489,44,209,399,36,209,Yes
4.0.0,3,3,132,139,46,75,132,44,75,No
4.0.0,8,3,533,556,69,521,535,66,521,No
4.0.0,9,3,603,683,75,573,607,67,573,Yes
4.0.0,1,1,148,148,148,148,148,148,148,Yes
4.0.0,3,2,174,184,61,173,174,58,173,No
4.0.0,3,2,148,158,52,147,148,49,147,No
4.0.0,6,3,92,834,139,763,1442,240,763,No
4.0.0,6,3,234,438,73,209,234,39,209,Yes
4.0.0,3,3,54,59,19,54,54,18,54,No
4.0.0,2,2,38,43,21,38,38,19,38,Yes
4.0.0,2,2,98,102,51,98,98,49,98,No
4.0.0,3,2,39,49,16,38,39,13,38,No
4.0.0,3,3,69,98,32,94,119,39,94,No
4.0.0,1,1,94,94,94,94,94,94,94,Yes
4.0.0,1,1,72,72,72,72,72,72,72,No
4.0.0,1,1,42,42,42,42,42,42,42,No
4.0.0,3,2,48,56,18,48,48,16,48,No
4.0.0,2,2,63,67,33,63,63,31,63,No
4.0.0,2,2,237,257,128,237,237,118,237,Yes
4.0.0,3,2,133,139,46,133,133,44,133,Yes
4.0.0,4,2,137,150,37,136,137,34,136,Yes
4.0.0,3,2,177,181,60,176,177,59,176,Yes
4.0.0,2,2,46,47,23,46,46,23,46,No
4.0.0,5,3,128,137,27,127,128,25,127,No
4.0.0,3,2,149,152,50,148,149,49,148,No
4.0.0,2,2,58,59,29,58,58,29,58,No
4.0.0,2,2,149,152,76,149,149,74,149,Yes
4.0.0,2,2,74,78,39,74,74,37,74,No
4.0.0,1,1,37,37,37,37,37,37,37,No
4.0.0,2,2,38,40,20,38,38,19,38,No
4.0.0,2,2,39,40,20,39,39,19,39,No
4.0.0,4,2,96,107,26,95,96,24,95,No
4.0.0,3,2,88,91,30,87,88,29,87,No
4.0.0,4,2,71,78,19,70,71,17,70,No
4.0.0,4,2,114,123,30,113,114,28,113,Yes
4.0.0,6,3,336,414,69,329,336,56,329,Yes
4.0.0,4,2,84,93,23,83,84,21,83,No
4.0.0,3,2,58,63,21,58,58,19,58,No
4.0.0,4,2,123,130,32,122,123,30,122,Yes
4.0.0,1,1,369,369,369,369,369,369,369,Yes
4.0.0,5,2,231,243,48,224,231,46,224,Yes
4.0.0,4,2,586,645,161,585,586,146,585,Yes
4.0.0,5,2,366,390,78,365,366,73,365,Yes
4.0.0,4,2,99,108,27,98,99,24,98,Yes
4.0.0,1,1,41,41,41,41,41,41,41,No
4.0.0,2,2,66,79,39,65,66,33,65,No
4.0.0,3,3,54,55,18,45,54,18,45,No
4.0.0,2,2,47,51,25,47,47,23,47,No
4.0.0,4,3,183,203,50,185,187,46,185,No
4.0.0,1,1,49,49,49,49,49,49,49,No
4.0.0,1,1,50,50,50,50,50,50,50,No
4.0.0,2,2,98,100,50,97,98,49,97,No
4.0.0,1,1,138,138,138,138,138,138,138,Yes
4.0.0,1,1,43,43,43,43,43,43,43,No
4.0.0,1,1,42,42,42,42,42,42,42,No
4.0.0,1,1,56,56,56,56,56,56,56,Yes
4.0.0,2,2,162,163,81,162,162,81,162,Yes
4.0.0,2,2,6367,12222,6111,6127,6367,3183,6095,Yes
4.0.0,2,2,153,155,77,153,153,76,153,No
4.0.0,1,1,43,43,43,43,43,43,43,Yes
4.0.0,2,2,41,42,21,41,41,20,41,No
4.0.0,3,2,105,155,51,104,105,35,104,Yes
4.0.0,5,3,105,148,29,103,105,21,103,Yes
4.0.0,4,3,92,126,31,91,92,23,91,Yes
4.0.0,3,2,101,151,50,100,101,33,100,No
