Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,CHURN,AVGCHURN,MAXCHURN,BUGGY
0.9.0.1,storm-core/src/jvm/backtype/storm/Config.java,35,9,0,0,0.0,0,0,0.0,0,Yes
0.9.0.1,storm-core/src/jvm/backtype/storm/ConfigValidation.java,5,3,0,0,0.0,0,0,0.0,0,Yes
0.9.0.1,storm-core/src/jvm/backtype/storm/Constants.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/ILocalCluster.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/ILocalDRPC.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/StormSubmitter.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/ClojureBolt.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/ClojureSpout.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/RichShellBolt.java,5,3,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/RichShellSpout.java,5,3,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchBoltExecutor.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollector.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/IBatchBolt.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/daemon/Shutdownable.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/JoinResult.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/KeyedFairBolt.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/PrepareRequest.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/ReturnResults.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/AlreadyAliveException.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/Bolt.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/BoltStats.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ComponentCommon.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ComponentObject.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/DRPCExecutionException.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/DRPCRequest.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/DistributedRPC.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/DistributedRPCInvocations.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ErrorInfo.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ExecutorInfo.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ExecutorSpecificStats.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ExecutorStats.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ExecutorSummary.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/GlobalStreamId.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/Grouping.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/InvalidTopologyException.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/JavaObject.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/JavaObjectArg.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/KillOptions.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/Nimbus.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/NotAliveException.java,3,2,0,0,0.0,0,0,0.0,0,No
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,3,2,0,0,0.0,0,0,0.0,0,No
